"","addresses","addressesOrder","addressesRequired","aggScaleID","aggSetID","catSetID","changes","classID","compSet","contacts","contactsOrder","contactsRequired","datasets","datasetsOrder","datasetsRequired","dataType","domainID","firstReleased","groupID","instruments","instrumentsOrder","instrumentsRequired","languages","languagesOrder","partLabel","lastUpdated","latExp","maxLength","maxValue","measures","measureSets","measureSetsOrder","measureSetsRequired","measuresOrder","measuresRequired","minLength","minValue","nomenclatureID","organizations","organizationsOrder","organizationsRequired","ontologyRef","partDesc","partID","partInstr","parts","partType","polygons","polygonsOrder","polygonsRequired","protocolRelationships","protocols","protocolsOrder","protocolsRequired","protocolSteps","protocolStepsOrder","protocolStepsRequired","qualityReports","qualityReportsOrder","qualitySetID","refLink","sampleRelationships","sampleRelationshipsOrder","sampleRelationshipsRequired","samples","samplesOrder","samplesRequired","sets","setsOrder","shortName","sites","sitesOrder","sitesRequired","specimenSet","status","translations","translationsOrder","unitSetID"
"1","NA","NA","NA","NA","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","varchar","Bio","2.0","procGrp","NA","NA","NA","NA","NA","4s method","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Nucleic acid extraction performed using the 4s method.","4s","NA","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","naUnitSet"
"2","NA","NA","NA","NA","naAggrSet","NA","added in V2.0, changed to partType = compartment","naClass","airCompartment","NA","NA","NA","NA","NA","NA","varchar","allDo","2.0","naGroup","NA","NA","NA","NA","NA","Air compartment","2.0","NA","1","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","A measure or observation made from a substance in the air.","a","NA","NA","compartment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","anySpecimen","active","NA","NA","naUnitSet"
"3","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","a1306s delta-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","a1306s delta-variant gene target","a1306s","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"4","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","a1918v delta-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","a1918v delta-variant gene target","a1918v","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"5","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","a2710t omicron-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","a2710t omicron-variant gene target","a2710t","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"6","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","a63t omicron-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","a63t omicron-variant gene target","a63t","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"7","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","mutation","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Bio","2.0","sarsCov2","NA","NA","NA","NA","NA","a67v omicron-variant gene target","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","a67v omicron-variant gene target","a67v","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pcrQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saSpecimen","active","NA","NA","geneticUnitSet"
"8","NA","NA","NA","NA","naAggrSet","NA","description wording, structure","naClass","waterCompartment","NA","NA","NA","NA","NA","NA","varchar","naDomain","1.0","naGroup","input","NA","NA","NA","NA","Atline Analyzer","2.0","NA","30","NA","input","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Atline analyzer with sampler.","aas","An atline analyzer with sampler.","NA","category","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","naUnitSet"
"9","NA","NA","NA","see unit","naAggrSet","NA","added in V2.0","humClass","anyCompartment","NA","NA","NA","NA","NA","NA","see unit","Phy","2.0","siteFeat","NA","NA","NA","NA","NA","Absolute humidity","2.0","NA","NA","see unit","input","NA","NA","NA","NA","NA","NA","see unit","naNomenclature","NA","NA","NA","NA","The unit of absolute humidity. The total mass of water vapour present in the air.","absHum","NA","NA","measure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","siSpecimen","active","NA","NA","absHumidUnitSet"
"10","NA","NA","NA","quantAggScale","naAggrSet","NA","added in V2.0","naClass","anyCompartment","NA","NA","NA","NA","NA","NA","categorical","naDomain","2.0","naGroup","NA","NA","NA","NA","NA","Absolute humidity unit set","2.0","NA","30","NA","NA","NA","NA","NA","NA","NA","0","NA","naNomenclature","NA","NA","NA","NA","Unit set for absolute humidity measurements.","absHumidUnitSet","NA","input","unitSet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genQualitySet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naSpecimenSet","active","NA","NA","absHumidUnitSet"
