"","changes","firstReleased","langID","partLabel","lastUpdated","partDesc","partID","partInstr","notes"
"1","added in V2.0","2.0","eng","4s method","2.0","Nucleic acid extraction performed using the 4s method.","4s","NA",NA
"2","added in V2.0","2.0","eng","Sample collection category set","2.0","The category set for sample collection.","collectCatSet","NA",NA
"3","added in V2.0","2.0","eng","a1306s delta-variant gene target","2.0","a1306s delta-variant gene target","a1306s","NA",NA
"4","added in V2.0","2.0","eng","a1918v delta-variant gene target","2.0","a1918v delta-variant gene target","a1918v","NA",NA
"5","added in V2.0","2.0","eng","a2710t omicron-variant gene target","2.0","a2710t omicron-variant gene target","a2710t","NA",NA
"6","added in V2.0","2.0","eng","a63t omicron-variant gene target","2.0","a63t omicron-variant gene target","a63t","NA",NA
"7","added in V2.0","2.0","eng","a67v omicron-variant gene target","2.0","a67v omicron-variant gene target","a67v","NA",NA
"8","description wording, structure","1.0","eng","Atline Analyzer","2.0","Atline analyzer with sampler.","aas","An atline analyzer with sampler.",NA
"9","added in V2.0","2.0","eng","Absolute humidity","2.0","The unit of absolute humidity. The total mass of water vapour present in the air.","absHum","NA",NA
"10","added in V2.0","2.0","eng","Absolute humidity unit set","2.0","Unit set for absolute humidity measurements.","absHumidUnitSet","NA",NA
"11","added in V2.0","2.0","eng","Academic institution organization type","2.0","The category of organization type used for academic institutions or research groups.","academ","NA",NA
"12","now a unit for any group or biologic infection","1.0","eng","Number of active cases","2.0","Number of active cases.","acti","NA",NA
"13","added in V2.0","2.0","eng","Active","2.0","Indicator to say that a part is in current use in the model. See partID = status","active","NA",NA
"14","added in V2.0","1.0","eng","Analysis date","2.0","Date the measurement was performed in the lab.","aDate","NA",NA
"15","added in V2.0","1.0","eng","Report ID","2.0","Unique identifier for a measurement.","measureRepID","Report IDs cannot be repeated.",NA
"16","added in V2.0","1.1","eng","Parent sample ID","2.0","If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.","parSampID","NA",NA
"17","added in V2.0","2.0","eng","Protocol ID Container","2.0","Unique identifier for the protocol and the steps and other protocols that make it up.","protocolIDContainer","Protocol ID Container in popuated by a protocolID (partID = protocolID)",NA
"18","description wording, structure","1.1","eng","Instrument ID","2.0","A unique identifier for an instrument.","instID","NA",NA
"19","NA","2.0","eng","Address Table","2.0","The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.","addresses","adapt from verson 1 documentation",NA
"20","added in V2.0","2.0","eng","Parent Site ID","2.0","The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.","parSiteID","An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.",NA
"21","added in V2.0","2.0","eng","Air filtration unit","2.0","Air filtration or circulating unit.","afu","Typically the unit would have a fan or blower.",NA
"22","added in V2.0","2.0","eng","Aggregations","2.0","Statistical measures used to report a measure. Each dataType that is a number should be reported with an aggregation.","aggregation","NA",NA
"23","description wording, structure","1.1","eng","Sample ID","2.0","Unique identifier for a sample.","sampleID","Suggestion:siteID-date-index.",NA
"24","added in V2.0","2.0","eng","Addresses table column order","2.0","Specifies the order of the columns in the Addresses table.","addressesOrder","NA",NA
"25","added in V2.0","2.0","eng","Requirements of addresses table","2.0","Specifies the columns required in a Addresses table.","addressesRequired","NA",NA
"26","added in V2.0","2.0","eng","Inhibition present but addressed","2.0","The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.","ai","NA",NA
"27","added in V2.0","2.0","eng","Contact ID","2.0","A unique identifier for a given contact person.","contID","NA",NA
"28","added in V2.0","2.0","eng","Nucleic Acid Extraction CatSetegory Set","2.0","CatSetegory set used for storing all the valid category values for the nucleic acid extraction method.","extractCatSet","NA",NA
"29","description wording, structure","1.0","eng","Environmental Temperature","2.0","Environmental temperature.","airTemp","NA",NA
"30","added in V2.0","2.0","eng","Sample fraction category set","2.0","CatSetegory set for the fraction of the sample (solid, liquid, etc.).","fractionCatSet","NA",NA
"31","depreciated","1.0","eng","Alias","2.0","ID of an assay that is the same or similar. A comma separated list.","alias","Deprecated as of version 2, please avoid use. Use notes instead.",NA
"32","depreciated","1.0","eng","Alias ID","2.0","Alias id","aliasID","ID of an assay that is the same or similar. a comma separated list.",NA
"33","added in V2.0","2.0","eng","All domains","2.0","Domain that specifies that it could apply to al domains; biological, chemical, and physical.","allDo","NA",NA
"34","added in V2.0","2.0","eng","Alleles class","2.0","Specifies a collection of measures/methods related to alleles.","allele","NA",NA
"35","depreciated","1.0","eng","Access to all org","2.0","If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.","allOrgs","NA",NA
"36","added in V2.0","2.0","eng","Aloh3 precipitation","2.0","Aloh3 precipitation","aloh3","NA",NA
"37","depreciated","1.0","eng","Assay method id default","2.0","Used as default when a new measurement is created for this lab. See ID in AssayMethod table.","amDef","Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",NA
"38","added in V2.0","2.0","eng","Amicon ultrafiltration","2.0","Amicon ultrafiltration","amiconUf","NA",NA
"39","added in V2.0","2.0","eng","Amicon filter, extract with MP96","2.0","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.","amiMP96","NA",NA
"40","added in V2.0","2.0","eng","Geographic category set","2.0","CatSetegory set for different type of geographic components.","geoTypeCatSet","NA",NA
"41","added in V2.0","2.0","eng","Area proportional sample","2.0","An area proportional sample.","areaPr","Used for surface testing.",NA
"42","added in V2.0","2.0","eng","Use of the articV3 primer","2.0","Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.","articV3","NA",NA
"43","added in V2.0","2.0","eng","Use of the articV4 primer","2.0","Artic V4 sequencing primer for VOCs and VOIs.","articV4","NA",NA
